covidence;author;year;country;location;latitude;longitude;climate;expe_t;mat;map;map_units;soil;type;ph;om;om_units;oc;oc_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec ;cec_units;N;N_units;N_types;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density;units_density;ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
1041;Claveria;2019;Philippines;Luzon;;;Tropical rainforest;;;;;;Hydrothermally altered host rocks;3.62;6.09;%;;;;;;;;;;;;10.29;mg kg-1;Total;2.91;mg kg-1;Total;44.96;;165.53;;;;;;;;;mg kg-1;;Total;;Braided Curly-Grass Fern;Pteris vittata;;;;;;;;;279;;18.07; ; ; ;;;;;;mg kg-1;;leaves+stems;260.5;;25.06;;;;;;;;;mg kg-1;;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1041;Claveria;2019;Philippines;Luzon;;;Tropical rainforest;;;;;;Hydrothermally altered host rocks;3.62;6.09;%;;;;;;;;;;;;10.29;mg kg-1;Total;2.91;mg kg-1;Total;44.96;;165.53;;;;;;;;;mg kg-1;;Total;;Tiger grass;Thysanolaena latifolia;;;;;;;;;;;2.19; ; ; ;;;;;;mg kg-1;;leaves+stems;;;3.49;;;;;;;;;mg kg-1;;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5793;Conesa;2007;Spain;Cartagena-La Union;;;Semiarid;;18;300;mm;El Gorguel tailing;Mine tailings;7.2;;;;;;5;%;73;%;8;dSm-1;9;cmol kg-1;;;;;;;350;34;84;5200;9100;;;;;;;mg kg-1;;Total;Soluble metal in H20;Syrian bean-caper;Zygophyllum fabago ;;;;0.074257426;;;;g/plant;6.620699017;7.092811787;3.97163536;105.461502;336.633634; ;;;;;;mg kg-1;4;shoots;15.10345434;78.02100983;15.60283078;290.0188434;569.3067562;;;;;;;mg kg-1;4;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5793;Conesa;2007;Spain;Cartagena-La Union;;;Semiarid;;18;300;mm;El Gorguel tailing;Mine tailings;7.2;;;;;;5;%;73;%;8;dSm-1;9;cmol kg-1;;;;;;;350;34;84;5200;9100;;;;;;;mg kg-1;;Total;Soluble metal in H20;Barbless Spurry;Lygeum spartum;;;;0.130900332;;;;g/plant;7.66653105;14.26780627;7.059292179;29.79314397;284.8962365; ;;;;;;mg kg-1;4;shoots;20.32843881;14.61633428;17.78740461;302.1513561;763.2425503;;;;;;;mg kg-1;4;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5793;Conesa;2007;Spain;Cartagena-La Union;;;Semiarid;;18;300;mm;El Gorguel tailing;Mine tailings;7.2;;;;;;5;%;73;%;8;dSm-1;9;cmol kg-1;;;;;;;350;34;84;5200;9100;;;;;;;mg kg-1;;Total;Soluble metal in H20;Chewings Fescue;Piptatherum miliaceum;;;;0.041058848;;;;g/plant;9.12379332;4.222222222;11.0318557;18.22843636;226.7197175; ;;;;;;mg kg-1;4;shoots;77.50564042;49.95251662;52.58692161;1515.08353;2267.01577;;;;;;;mg kg-1;4;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663;Cuske;2016;Poland;Legnica;;;Warm and temperate;;;;;1 (150m from smetler);Copper smelter;7.48;;;9;g kg-1;Silty loam;;;;;;;;;0.9;mg kg-1;Total;;;;;;5180;;368;;;;;;;mg kg-1;3;Total;;Red fescue;Festuca rubra;;;;;;;;;;;50.2283244; ;159.92307; ;;;;;;mg kg-1;3;shoots;;;1940.639134;;297.2306881;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663;Cuske;2016;Poland;Legnica;;;Warm and temperate;;;;;2 (500m from smetler);Copper smelter;6.41;;;7.6;g kg-1;Silty loam;;;;;;;;;0.9;mg kg-1;Total;;;;;;3732;;295;;;;;;;mg kg-1;3;Total;;Red fescue;Festuca rubra;;;;;;;;;;;89.4977211; ;236.384586; ;;;;;;mg kg-1;3;shoots;;;1529.680433;;271.3845984;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663;Cuske;2016;Poland;Legnica;;;Warm and temperate;;;;;3 (880m from smetler);Copper smelter;5.22;;;13;g kg-1;Silty loam;;;;;;;;;1.4;mg kg-1;Total;;;;;;1686;;174;;;;;;;mg kg-1;3;Total;;Red fescue;Festuca rubra;;;;;;;;;;;91.7808086; ;259.53846; ;;;;;;mg kg-1;3;shoots;;;1598.173405;;254.1537625;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663;Cuske;2016;Poland;Legnica;;;Warm and temperate;;;;;4 (1070m from smetler);Copper smelter;7;;;6.6;g kg-1;Silty loam;;;;;;;;;0.9;mg kg-1;Total;;;;;;531;;94;;;;;;;mg kg-1;3;Total;;Red fescue;Festuca rubra;;;;;;;;;;;40.6392387; ;124.923068; ;;;;;;mg kg-1;3;shoots;;;1484.018161;;232.6152997;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1663;Cuske;2016;Poland;Legnica;;;Warm and temperate;;;;;5 (1300m from smetler);Copper smelter;7.15;;;9.3;g kg-1;Silty loam;;;;;;;;;1.2;mg kg-1;Total;;;;;;301;;79;;;;;;;mg kg-1;3;Total;;Red fescue;Festuca rubra;;;;;;;;;;;29.6803632; ;101.769224; ;;;;;;mg kg-1;3;shoots;;;707.7630303;;297.2306881;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;0 Cu ;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;3.68;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Carpetgrass;Axonopus  affinis;;;;7.746642409;;;1.624339688;g pot-1;;;12.88; ;44.32; ;;;144.48;;;mg kg-1;3;shoots;;;68.84;;41.84;;;;175.48;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;40 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;40;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Carpetgrass;Axonopus  affinis;;;;6.897850593;;;1.503262717;g pot-1;;;30.44; ;56.8; ;;;219.24;;;mg kg-1;3;shoots;;;429.32;;61.04;;;;402.24;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;80 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;80;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Carpetgrass;Axonopus  affinis;;;;1.284341601;;;0.439726553;g pot-1;;;72.88; ;50.64; ;;;818.68;;;mg kg-1;3;shoots;;;599.64;;65.24;;;;1657.4;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;0 Cu ;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;3.68;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Bahiagrass;Paspalum notatum;;;;17.23438686;;;14.21996381;g pot-1;;;17.88; ;26.12; ;;;56.36;;;mg kg-1;3;shoots;;;41.92;;23.72;;;;108.36;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;40 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;40;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Bahiagrass;Paspalum notatum;;;;7.752127922;;;4.083386646;g pot-1;;;32.08; ;59.76; ;;;173.28;;;mg kg-1;3;shoots;;;182.76;;98.12;;;;199.35;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;80 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;80;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Bahiagrass;Paspalum notatum;;;;2.667056748;;;2.031000384;g pot-1;;;44.48; ;58.52; ;;;203.68;;;mg kg-1;3;shoots;;;385.4;;75.12;;;;327.68;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;0 Cu ;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;3.68;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Velvet Grass;Paspalum  plicatulum;;;;33.01438119;;;13.99458956;g pot-1;;;15.64; ;19.24; ;;;123;;;mg kg-1;3;shoots;;;41.68;;21.8;;;;117.8;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;40 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;40;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Velvet Grass;Paspalum  plicatulum;;;;32.39817515;;;12.23305123;g pot-1;;;25.72; ;28.56; ;;;137.88;;;mg kg-1;3;shoots;;;240.64;;49.16;;;;132.44;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;De Conti;2021;Brazil;Santana do Livramento;"30°47′23.7""N";"55°22′7.3""W";Humid subtropical;25;;;;80 Cu;Typic hapludalf soil;5.2;9;g kg-1;;;;54;g kg-1;894;g kg-1;;;3.2;cmolc kg-1;;;;3.6;mg kg-1;Available Mehlich-1;;;80;;6.26;;;;;;;mg kg-1;3;Total;Available EDTA;Velvet Grass;Paspalum  plicatulum;;;;14.49016722;;;7.214279186;g pot-1;;;36.44; ;43.44; ;;;138.88;;;mg kg-1;3;shoots;;;594.56;;66.24;;;;138.76;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1955;De Maria;2013;Italy;Potenza;40°36’ N;15°48’ E;Oceanic;22;;;;Untreated;;7.1;20;g kg-1;;;Clay loam;353;g kg-1;361;g kg-1;0.14;ms cm-1;36;cmolc kg-1;1.2;g kg-1;Total;;;;;0.27;62;;180;;;;;;;mg kg-1;4;Total;;Sunflower;Helianthus annuus;cv. Oleko;1;plants/pot;;;;;;;0.01145219;19.30178279; ;22.20462279; ;;;;;;mg kg-1;4;leaves;;;;;;;;;;;;;;;;0.049329677;7.598817695;;42.0404462;;;;;;;mg kg-1;4;Stem;;0.027091735;11.733457;;37.1487911;;;;;;;mg kg-1;4;head;;;;;;;;;;;;;;;
1955;De Maria;2013;Italy;Potenza;40°36’ N;15°48’ E;Oceanic;22;;;;Cd-Zn-Cu;;7.1;20;g kg-1;;;Clay loam;353;g kg-1;361;g kg-1;0.14;ms cm-1;36;cmolc kg-1;1.2;g kg-1;Total;;;;;5;400;;300;;;;;;;mg kg-1;4;Total;;Sunflower;Helianthus annuus;cv. Oleko;1;plants/pot;;;;;;;2.472010302;141.0993325; ;190.0885838; ;;;;;;mg kg-1;4;leaves;;;;;;;;;;;;;;;;0.978823888;17.49261059;;146.9392332;;;;;;;mg kg-1;4;Stem;;0.451681326;15.44855599;;44.80485129;;;;;;;mg kg-1;4;head;;;;;;;;;;;;;;;
2973;De Varennes;2015;Portugal;Pegoes;;;Mediterranean;16.5;;;;0% Cu;;5.4;1;%;;;Sandy;;;;;;;;;;;;;;;;;1.8;;;;;;;;;mg kg-1;3;EDTA;;Burr medic;Medicago polymorpha;;12;plants/pot;13.5;;;3.1;g per pot;;;12; ; ; ;;;;;;mg kg-1;3;shoots;;;66;;;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2973;De Varennes;2015;Portugal;Nelas;;;Mediterranean;16.5;;;;25% Cu;Vineyards;6.2;1;%;;;Loamy sand;;;;;;;;;;;;;;;;;57.5;;;;;;;;;mg kg-1;3;EDTA;;Burr medic;Medicago polymorpha;;12;plants/pot;17.6;;;4.6;g per pot;;;24; ; ; ;;;;;;mg kg-1;3;shoots;;;262;;;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2973;De Varennes;2015;Portugal;Nelas;;;Mediterranean;16.5;;;;50% Cu;Vineyards;6.2;1;%;;;Loamy sand;;;;;;;;;;;;;;;;;115;;;;;;;;;mg kg-1;3;EDTA;;Burr medic;Medicago polymorpha;;12;plants/pot;19.1;;;5.5;g per pot;;;36; ; ; ;;;;;;mg kg-1;3;shoots;;;565;;;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2973;De Varennes;2015;Portugal;Nelas;;;Mediterranean;16.5;;;;100% Cu;Vineyards;6.2;1;%;;;Loamy sand;;;;;;;;;;;;;;;;;230;;;;;;;;;mg kg-1;3;EDTA;;Burr medic;Medicago polymorpha;;12;plants/pot;4.6;;;4.1;g per pot;;;26; ; ; ;;;;;;mg kg-1;3;shoots;;;979;;;;;;;;;mg kg-1;3;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;Deriu;2007;Italy;;;;Mediterranean;;;;;Control;Commercial agricultural soil;6.8;;;;;;10;%;48;%;;;;;1.04;%;Total;;;;;;53;85.6;73.7;;;;;;;mg kg-1;;Total;Available EDTA;Barley;Hordeum disticum;;;;38;;;;mg;;;15.1;24.2;198; ;;;;;;mg kg-1;3;tissues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;Deriu;2007;Italy;Rome;;;Mediterranean;;;;;Soil A;Municipal landfill;7.4;;;;;Sandy loam;13;%;52;%;;;;;0.18;%;Total;;;;;;20.3;76;79;;;;;;;mg kg-1;;Total;Available EDTA;Barley;Hordeum disticum;;;;20;;;;mg;;;3.5;9.9;140; ;;;;;;mg kg-1;3;tissues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;Deriu;2007;Italy;Sardinia;;;Mediterranean;;;;;Soil B;Mine site;5.4;;;;;Sandy loam;5;%;45;%;;;;;0.3;%;Total;;;;;;779;19571;5561;;;;;;;mg kg-1;;Total;Available EDTA;Barley;Hordeum disticum;;;;21;;;;mg;;;152;2595;4097; ;;;;;;mg kg-1;3;tissues;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Desjardins;2016;Canada;Montreal;-73.563009;45.560002;Humid continental climate;;;;;S1;Brownfield soil;8.3;2.3;%;;;;;;;;;;49.77;meq 100-1;;;;35;kg ha-1;Extractable Mehlich-1;;;47.5;;162.2;;;;;;;mg kg-1;5;Total;;Indian mustard;Brassica juncea;;;;27.33944851;;;4.074075175;g;;; ; ;0; ;;;;;;mg kg-1;5;shoots;;;215.6996138;;133.1057968;;;;;;;mg kg-1;5;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Desjardins;2016;Canada;Montreal;-73.563009;45.560002;Humid continental climate;;;;;S2;Brownfield soil;7.5;3.9;%;;;;;;;;;;36.93;meq 100-1;;;;28;kg ha-1;Extractable Mehlich-1;;;20.02;;177;;;;;;;mg kg-1;5;Total;;Indian mustard;Brassica juncea;;;;23.48624084;;;4.44444693;g;;; ; ;0; ;;;;;;mg kg-1;5;shoots;;;191.1262984;;154.9488046;;;;;;;mg kg-1;5;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;Desjardins;2016;Canada;Montreal;-73.563009;45.560002;Humid continental climate;;;;;S1;Brownfield soil;8.3;2.3;%;;;;;;;;;;49.77;meq 100-1;;;;35;kg ha-1;Extractable Mehlich-1;;;47.5;;162.2;;;;;;;mg kg-1;5;Total;;Tall fescue;Festuca  arundinacea;;;;25.13761956;;;18.5185171;g;;; ; ;0; ;;;;;;mg kg-1;5;shoots;;;263.4811819;;94.88055278;;;;;;;mg kg-1;5;roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
